country,LOCATION_NAME,year,EQ_MAG_MS,deaths,latitude,longitude,pop,urb,sector
Chile,CHILE,1520,,,-40,-74,,,
Chile,CHILE,1543,,,-19,-70.5,,,
Chile,CHILE,1562,8,,-38.7,-73.5,,,
Chile,CHILE: OLD CONCEPCION,1570,8.3,,-36.75,-73,,,
Chile,CHILE: VALDIVIA,1575,8.5,21,-39.8,-73.2,,,
Chile,CHILE,1604,,,-29.9,-71.3,,,
Chile,CHILE: ARICA,1615,,,-18.5,-70.35,,,
Chile,CHILE: FORT CARELMAPU,1633,,,-41.8,-73.8,,,
Chile,CHILE,1639,,,-30,-71.4,,,
Chile,CHILE: SANTIAGO,1647,8.5,1000,-33.4,-70.6,,,
Chile,"CHILE: CONCEPCION, CHILLAN",1657,8,,-36.83,-73.03,,,
Chile,CHILE: SANTIAGO,1657,,,-33.5,-70.7,,,
Chile,CHILE,1681,7.5,,-18.5,-70.35,,,
Chile,CHILE: SANTIAGO,1687,7.5,,-32.8,-70.7,,,
Chile,CHILE: CHILE: ARICA,1705,,,-18.6,-70.2,,,
Chile,CHILE: VALPARAISO,1730,8.7,2,-32.5,-71.5,,,
Chile,"CHILE: VALDIVIA, CHILOE",1737,8,,-43,-74,,,
Chile,CHILE: CONCEPCION,1742,,,-36.8,-73,,,
Chile,"CHILE: CONCEPCION, CHILLAN, TALCA, TUTUBEN, CURICO",1751,8.5,,-36.83,-71.63,,,
Chile,CHILE: VALPARAISO,1765,,,-33.05,-71.617,,,
Chile,"CHILE: COPIAPO, VALLENAR, HUASCO, COQUIMBO",1796,,,-27.35,-70.35,,,
Chile,CHILE: COPIAPO,1798,,,-27.35,-70.35,,,
Chile,CHILE: VALPARAISO,1811,,,-33.08,-71.67,,,
Chile,CHILE: COPIAPO,1819,,,-27.4,-70.3,,,
Chile,CHILE: COPIAPO,1819,,,-27.4,-70.3,,,
Chile,CHILE: COPIAPO,1819,,,-27,-71.5,,,
Chile,"CHILE: VALPARAISO, QUILLOTA, CONCON, ACONCAGUA",1822,8.5,72,-33,-72,,,
Chile,CHILE,1822,,,-33.05,-71.63,,,
Chile,CHILE: VALPARAISO,1829,7,,-33.05,-71.63,,,
Chile,"CHILE: PERU: TACNA,ARICA,AREQUIPA",1831,,,-18.5,-71,,,
Chile,CHILE,1833,,,-28.5,-71.3,,,
Chile,CHILE: CONCEPCION,1835,8.2,50,-36.83,-73.03,,,
Chile,CHILE: COBIJA,1836,7.5,,-22.6,-70.3,,,
Chile,CHILE: VALDIVIA,1837,8.5,,-42.5,-74,,,
Chile,CHILE: CENTRAL,1838,,,-36.7,-73.1,,,
Chile,CHILE,1843,,,-29.9,-71.3,,,
Chile,CHILE,1845,,,-18.5,-70.4,,,
Chile,CHILE,1847,,,-32.5,-71.3,,,
Chile,CHILE: COQUIMBO,1847,7.3,,-31.61,-71.18,,,
Chile,CHILE: COQUIMBO,1849,6.5,,-29.95,-71.37,,,
Chile,CHILE: VALPARAISO,1851,7.1,,-33.32,-71.42,,,
Chile,CHILE: COPIAPO,1851,7.2,,-27.35,-70.35,,,
Chile,CHILE: VALPARAISO,1855,,,-33,-71.7,,,
Chile,CHILE: LA SERENA,1858,6.5,,-30,-71.4,,,
Chile,CHILE,1859,7.6,10,-27.35,-70.35,,,
Chile,CHILE: ARICA,1868,8.5,25000,-18.6,-71,,,
Chile,CHILE: ARICA,1868,8.5,,-18.6,-71,,,
Chile,CHILE: CENTRAL,1868,,,-36.7,-73.2,,,
Chile,CHILE: CENTRAL,1868,,,-33.1,-71.7,,,
Chile,"CHILE: SANTIAGO, VALPARAISO",1869,,,-36.6,-73,,,
