country,location,year1,year,Magnitude,Deaths,Latitude,Longitude,"IMPACTO.(DPTO), PROV(DPTO)",Population,Urban,Sector,
Peru,PERU: OFF SOUTH COAST,1906,1906,7.9,,-18,-71,"(TACNA), ISLAY (AREQUIPA)",29663,1,3,
Peru,PERU,FEB 23 1907,1907,5,0,-13.2,-75.4,"LIMA, HUAROCHIRI, CAÑETE (LIMA), CASTROVIRREYNA (HUANCAVELICA), CHINCHA ALTA (ICA),  LUCANAS (AYACUCHO)",403545,1,2,
Peru,PERU,NOV 16 1907,1907,,0,-8.01,-76.79,"(LAMBAYEQUE) , CASMA, SANTA (ANCASH), TRUJILLO , PACASMAYO (LA LIBERTAD), (PASCO), (JUNIN), (HUANUCO)",674056,1,2,
Peru,PERU: OFF COAST,JUN 16 1908,1908,8.2,,-18.02,-70.25,(TACNA),31334,1,3,
Peru,"PERU: HUANCABAMBA, CAJAMARCA; ECUADOR: GUAYAQUIL",JUL 24 1912,1912,,,-5.62,-80.413,"HUANCABAMBA (PIURA), (CAJAMARCA)",373830,0,3,
Peru,PERU: AREQUIPA,JUL 28 1913,1913,7,1,-16.6,-73.3,"CAMANA,CARAVELI, ISLAY (AREQUIPA)",26246,0,3,
Peru,"PERU: CARAVELI, CHUQUIBAMBA, OCONA, ATICO",AGO 6 1913,1913,7.9,5,-15.8,-73.5,"(AREQUIPA), LUCANAS (AYACUCHO)",240440,1,3,
Peru,"PERU: AYMARAES, ABANCAY, CASAYA, SORAYA",NOV 4 1913,1913,10,250,-14.2,-72.9,"ANTABAMBA, GRAU, ANDAHUAYLAS, ABANCAY, COTABAMBAS, AYMARAES (APURIMAC)",185596,0,3,
Peru,PERU: CALLAO,1914,1914,,,-12,-76.6,(CALLAO),57846,1,1,
Peru,PERU: AREQUIPA,1914,1914,7.2,,-17,-72,(AREQUIPA),213397,1,1,
Peru,"PERU: CARAVELI,NAZCA, ICA,ATICO",SET 11 1914,1914,,,-15.5,-73.2,"CARAVELI (AREQUIPA), ICA, NAZCA (ICA)",56215,1,3,
Peru,"PERU: PARARCA,PAYSA,COLTA,OYALA",DIC 02 1914,1914,,34,-15.2,-73.2,"PAUCAR DEL SARA SARA, PARINACOCHAS (AYACUCHO), LA UNION, CONDESUYOS, CARAVELI (AREQUIPA)",78113,0,3,
Peru,PERU: S,1915,1915,,,-18.5,-68.5,,,,3,
Peru,PERU,DIC 18 1921,1921,7.6,0,-2.5,-71,LORETO (LORETO),13617,0,3,
Peru,PERU,ENE 06 1922,1922,7.2,0,-16.5,-73,(LIMA),365101,1,1,
Peru,PERU,ENE 17 1922,1922,7.6,0,-2.5,-71,"(JUNIN), (CERRO DE PASCO), (LORETO), (ANCASH), (ICA), (HUANUCO)",1085703,1,2,
Peru,PERU: CARAVELI,OCT 11 1922,1922,7.4,0,-16,-72.5,"AREQUIPA, CARAVELI (AREQUIPA), (ICA), LUCANAS (AYACUCHO), CAÑETE, LIMA (LIMA)",680152,1,1,
Peru,PERU,ABR 09 1928,1928,6.9,50,-13,-69.5,"HUANCANE, CARABAYA, SANDIA (PUNO), (CUSCO)",547052,0,3,
Peru,PERU: ESQUILAYA,ABR 27 1928,1928,6.8,0,-13,-69.5,CARABAYA (PUNO),18825,0,3,
Peru,"PERU: CHACAHPOYAS, HUANCABAMBA, CAJAMARCA, PINPINCOS",MAY 14 1928,1928,7.3,29,-5,-78,"(AMAZONAS), (CAJAMARCA), HUANCABAMBA (PIURA), LORETO (LORETO), (LAMBAYEQUE), (LA LIBERTAD)",1022718,1,1,
Peru,PERU,JUL 18 1928,1928,7,,-5.5,-79,"CONTUMAZA (CAJAMARCA), CHACHAPOYAS (AMAZONAS), (LA LIBERTAD)",362616,1,3,
Peru,PERU,ENE 20 1932,1932,"6,8",0,-12,-77.5,"CHANCAY, LIMA, CAÑETE (LIMA), (CALLAO), CHINCHA, PISCO, ICA (ICA), TRUJILLO (LA LIBERTAD), CHICLAYO (LAMBAYEQUE), HUARAZ (ANCASH)",998497,1,1,
Peru,"PERU: HUANCABAMBA,OXAPAMPA,EL PROGRESO,SAN DAVID",DIC 24 1937,1937,6.2,56,-10.5,-76.5,"OXAPAMPA (PASCO), CHANCHAMAYO (JUNIN), DOS DE MAYO, HUAMALIES (HUANUCO),  TARMA (JUNIN)",156176,0,3,
Peru,PERU: POMACANCHI,JUN 24 1939,1939,,37,-12.5,-72,"ACOMAYO, CANAS (CUSCO)",55735,0,3,
Peru,PERU: CHUQUIBAMBA,OCT 11 1939,1939,7,0,-15.305,-72.19,"CARAVELI, ISLAY, CONDESUYOS (AREQUIPA), GRAU (APURIMAC), MARISCAL NIETO (MOQUEGUA), PALPA (ICA), LUCANAS (AYACUCHO)",169600,0,3,
